t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,frame
0.0,152000000.0,-20000000.0,0.0,-15.0,20.0,0.1,heliocentric
50.0,151999249.99300218,-19998999.99907803,4.999999999923169,-15.000279913841718,20.000036878535305,0.09999999999539005,heliocentric
100.0,151998499.97200856,-19997999.996312167,9.999999999385338,-15.000559831088873,20.00007375586448,0.09999999998156,heliocentric
150.0,151997749.937019,-19996999.991702467,14.999999997925496,-15.000839751741552,20.000110631987482,0.09999999995850953,heliocentric
200.0,151996999.88803333,-19995999.98524899,19.99999999508261,-15.001119675799837,20.000147506904266,0.09999999992623831,heliocentric
250.0,151996249.82505137,-19994999.976951797,24.999999990395644,-15.001399603263813,20.00018438061479,0.09999999988474605,heliocentric
300.0,151995499.74807295,-19993999.96681095,29.999999983403526,-15.001679534133565,20.000221253119005,0.09999999983403239,heliocentric
350.0,151994749.6570979,-19992999.954826504,34.99999997364519,-15.001959468409177,20.000258124416867,0.09999999977409704,heliocentric
400.0,151993999.55212605,-19991999.940998524,39.99999996065953,-15.002239406090736,20.000294994508334,0.09999999970493967,heliocentric
450.0,151993249.43315724,-19990999.92532707,44.99999994398545,-15.002519347178323,20.00033186339336,0.09999999962655996,heliocentric
500.0,151992499.30019128,-19989999.907812204,49.999999923161816,-15.002799291672025,20.000368731071898,0.0999999995389576,heliocentric
550.0,151991749.153228,-19988999.888453983,54.99999989772749,-15.003079239571926,20.000405597543903,0.09999999944213227,heliocentric
600.0,151990998.99226728,-19987999.86725247,59.99999986722132,-15.003359190878111,20.000442462809332,0.09999999933608364,heliocentric
650.0,151990248.81730887,-19986999.844207723,64.99999983118212,-15.003639145590663,20.000479326868142,0.0999999992208114,heliocentric
700.0,151989498.62835264,-19985999.819319803,69.99999978914872,-15.003919103709666,20.000516189720283,0.09999999909631523,heliocentric
750.0,151988748.42539844,-19984999.79258877,74.9999997406599,-15.004199065235207,20.000553051365717,0.0999999989625948,heliocentric
800.0,151987998.20844606,-19983999.764014687,79.99999968525445,-15.004479030167369,20.000589911804393,0.0999999988196498,heliocentric
850.0,151987247.97749534,-19982999.73359761,84.99999962247114,-15.004758998506237,20.00062677103627,0.09999999866747991,heliocentric
900.0,151986497.73254615,-19981999.701337602,89.99999955184869,-15.005038970251896,20.0006636290613,0.09999999850608482,heliocentric
950.0,151985747.47359827,-19980999.667234723,94.99999947292585,-15.00531894540443,20.00070048587944,0.09999999833546419,heliocentric
1000.0,151984997.20065156,-19979999.631289035,99.99999938524134,-15.005598923963923,20.000737341490648,0.09999999815561772,heliocentric
1050.0,151984246.91370583,-19978999.593500596,104.99999928833385,-15.00587890593046,20.000774195894873,0.09999999796654509,heliocentric
1100.0,151983496.6127609,-19977999.553869467,109.99999918174207,-15.006158891304127,20.000811049092075,0.09999999776824596,heliocentric
1150.0,151982746.29781663,-19976999.512395706,114.99999906500466,-15.006438880085007,20.000847901082206,0.09999999756072003,heliocentric
1200.0,151981995.96887285,-19975999.46907938,119.99999893766028,-15.006718872273185,20.00088475186522,0.09999999734396699,heliocentric
1250.0,151981245.62592936,-19974999.423920542,124.99999879924756,-15.006998867868745,20.000921601441078,0.09999999711798649,heliocentric
1300.0,151980495.268986,-19973999.376919255,129.99999864930513,-15.007278866871772,20.000958449809733,0.09999999688277823,heliocentric
1350.0,151979744.8980426,-19972999.32807558,134.99999848737158,-15.00755886928235,20.000995296971137,0.09999999663834189,heliocentric
1400.0,151978994.51309898,-19971999.27738958,139.99999831298553,-15.007838875100566,20.001032142925247,0.09999999638467715,heliocentric
1450.0,151978244.11415502,-19970999.22486131,144.9999981256855,-15.008118884326501,20.001068987672017,0.09999999612178369,heliocentric
1500.0,151977493.7012105,-19969999.17049083,149.99999792501006,-15.008398896960243,20.001105831211405,0.09999999584966118,heliocentric
1550.0,151976743.27426526,-19968999.11427821,154.99999771049778,-15.008678913001873,20.001142673543363,0.09999999556830932,heliocentric
1600.0,151975992.83331913,-19967999.056223497,159.99999748168716,-15.008958932451478,20.00117951466785,0.09999999527772778,heliocentric
1650.0,151975242.37837195,-19966998.99632676,164.99999723811672,-15.009238955309142,20.00121635458482,0.09999999497791624,heliocentric
1700.0,151974491.90942356,-19965998.934588056,169.99999697932495,-15.009518981574951,20.001253193294225,0.09999999466887438,heliocentric
1750.0,151973741.42647377,-19964998.87100745,174.9999967048503,-15.009799011248989,20.00129003079602,0.09999999435060189,heliocentric
1800.0,151972990.9295224,-19963998.805584997,179.99999641423128,-15.010079044331338,20.001326867090164,0.09999999402309843,heliocentric
1850.0,151972240.41856927,-19962998.73832076,184.9999961070063,-15.010359080822084,20.001363702176608,0.0999999936863637,heliocentric
1900.0,151971489.89361423,-19961998.6692148,189.9999957827138,-15.010639120721313,20.00140053605531,0.09999999334039737,heliocentric
1950.0,151970739.3546571,-19960998.598267175,194.99999544089218,-15.01091916402911,20.001437368726226,0.09999999298519913,heliocentric
2000.0,151969988.80169776,-19959998.525477946,199.99999508107985,-15.011199210745557,20.00147420018931,0.09999999262076864,heliocentric
2050.0,151969238.234736,-19958998.450847175,204.99999470281517,-15.01147926087074,20.001511030444515,0.09999999224710561,heliocentric
2100.0,151968487.65377164,-19957998.374374922,209.99999430563653,-15.011759314404744,20.001547859491797,0.0999999918642097,heliocentric
2150.0,151967737.0588045,-19956998.296061248,214.99999388908228,-15.012039371347653,20.001584687331114,0.0999999914720806,heliocentric
2200.0,151966986.44983444,-19955998.21590621,219.99999345269072,-15.012319431699552,20.00162151396242,0.09999999107071798,heliocentric
2250.0,151966235.82686126,-19954998.13390987,224.99999299600017,-15.012599495460526,20.001658339385667,0.09999999066012154,heliocentric
2300.0,151965485.1898848,-19953998.05007229,229.99999251854896,-15.012879562630658,20.00169516360081,0.09999999024029094,heliocentric
2350.0,151964734.53890494,-19952997.96439353,234.99999201987535,-15.013159633210034,20.00173198660781,0.09999998981122586,heliocentric
2400.0,151963983.87392145,-19951997.87687365,239.99999149951762,-15.013439707198739,20.001768808406617,0.099999989372926,heliocentric
2450.0,151963233.19493416,-19950997.78751271,244.99999095701403,-15.013719784596855,20.001805628997186,0.09999998892539101,heliocentric
2500.0,151962482.50194293,-19949997.69631077,249.9999903919028,-15.01399986540447,20.001842448379474,0.0999999884686206,heliocentric
2550.0,151961731.79494756,-19948997.603267893,254.99998980372214,-15.014279949621667,20.001879266553434,0.09999998800261443,heliocentric
2600.0,151960981.0739479,-19947997.508384135,259.9999891920103,-15.01456003724853,20.001916083519024,0.0999999875273722,heliocentric
2650.0,151960230.33894378,-19946997.41165956,264.9999885563054,-15.014840128285146,20.001952899276198,0.09999998704289358,heliocentric
2700.0,151959479.589935,-19945997.31309423,269.9999878961457,-15.015120222731598,20.001989713824912,0.09999998654917824,heliocentric
2750.0,151958728.82692143,-19944997.2126882,274.99998721106925,-15.01540032058797,20.002026527165118,0.09999998604622588,heliocentric
2800.0,151957978.0499029,-19943997.110441532,279.9999865006143,-15.015680421854348,20.002063339296775,0.09999998553403616,heliocentric
2850.0,151957227.25887918,-19942997.006354287,284.9999857643189,-15.015960526530817,20.002100150219835,0.09999998501260877,heliocentric
2900.0,151956476.45385018,-19941996.90042653,289.9999850017212,-15.01624063461746,20.002136959934255,0.0999999844819434,heliocentric
2950.0,151955725.63481566,-19940996.792658314,294.99998421235927,-15.016520746114363,20.002173768439988,0.09999998394203971,heliocentric
3000.0,151954974.8017755,-19939996.683049705,299.9999833957712,-15.01680086102161,20.00221057573699,0.0999999833928974,heliocentric
3050.0,151954223.9547295,-19938996.57160076,304.99998255149507,-15.017080979339285,20.002247381825214,0.09999998283451614,heliocentric
3100.0,151953473.0936775,-19937996.458311543,309.99998167906887,-15.017361101067474,20.00228418670462,0.0999999822668956,heliocentric
3150.0,151952722.21861932,-19936996.34318211,314.99998077803065,-15.01764122620626,20.00232099037516,0.09999998169003547,heliocentric
3200.0,151951971.3295548,-19935996.226212524,319.99997984791844,-15.01792135475573,20.00235779283679,0.09999998110393545,heliocentric
3250.0,151951220.42648378,-19934996.107402846,324.9999788882702,-15.018201486715967,20.002394594089463,0.09999998050859518,heliocentric
3300.0,151950469.50940606,-19933995.986753136,329.99997789862397,-15.018481622087055,20.002431394133136,0.09999997990401437,heliocentric
3350.0,151949718.5783215,-19932995.864263453,334.99997687851766,-15.018761760869081,20.002468192967765,0.09999997929019269,heliocentric
3400.0,151948967.6332299,-19931995.73993386,339.9999758274892,-15.01904190306213,20.0025049905933,0.09999997866712983,heliocentric
3450.0,151948216.67413113,-19930995.613764413,344.9999747450766,-15.019322048666284,20.002541787009704,0.09999997803482545,heliocentric
3500.0,151947465.70102498,-19929995.485755175,349.99997363081775,-15.01960219768163,20.002578582216927,0.09999997739327925,heliocentric
3550.0,151946714.7139113,-19928995.35590621,354.9999724842505,-15.01988235010825,20.002615376214923,0.09999997674249089,heliocentric
3600.0,151945963.7127899,-19927995.224217575,359.99997130491283,-15.020162505946232,20.00265216900365,0.09999997608246007,heliocentric
3650.0,151945212.69766062,-19926995.09068933,364.9999700923425,-15.020442665195658,20.00268896058306,0.09999997541318646,heliocentric
3700.0,151944461.6685233,-19925994.95532154,369.9999688460774,-15.020722827856613,20.00272575095311,0.09999997473466973,heliocentric
3750.0,151943710.62537777,-19924994.81811426,374.9999675656554,-15.021002993929184,20.002762540113757,0.09999997404690958,heliocentric
3800.0,151942959.56822386,-19923994.67906755,379.9999662506143,-15.021283163413454,20.002799328064953,0.09999997334990568,heliocentric
