t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,frame
0.0,7000.0,-2000.0,1200.0,-6.5,-2.0,-1.0,geocentric
2.0,6986.986094023753,-2003.996021748432,1197.9976159667874,-6.513912592581522,-1.996017294263446,-1.0023852434054792,geocentric
4.0,6973.944323085355,-2007.9840512893447,1195.9904541706312,-6.5278650017389435,-1.992007756866097,-1.0047777704503138,geocentric
6.0,6960.874607313465,-2011.9640347449629,1193.9784999990823,-6.541857465992067,-1.9879711729697274,-1.0071776263699745,geocentric
8.0,6947.7768663577135,-2015.9359178055176,1191.961738748828,-6.555890225854238,-1.98390732541419,-1.0095848567936034,geocentric
10.0,6934.651019384691,-2019.899645724572,1189.9401556249,-6.5699635238538265,-1.979815994686131,-1.0119995077484418,geocentric
12.0,6921.496985073898,-2023.8551633142833,1187.9137357398733,-6.584077604555993,-1.9756969588871987,-1.0144216256643188,geocentric
14.0,6908.314681613651,-2027.8024149405994,1185.8824641130573,-6.598232714584734,-1.9715499937017364,-1.0168512573782016,geocentric
16.0,6895.104026696941,-2031.7413445183925,1183.8463256696762,-6.612429102645221,-1.9673748723639497,-1.019288450138808,geocentric
18.0,6881.864937517247,-2035.6718955065255,1181.805305240041,-6.6266670195464235,-1.963171365624537,-1.021733251611283,geocentric
20.0,6868.597330764309,-2039.5940109028509,1179.7593875587124,-6.64094671822404,-1.958939241716776,-1.0241857098819391,geocentric
22.0,6855.301122619848,-2043.5076332391413,1177.7085572636533,-6.655268453763722,-1.9546782663220512,-1.0266458734630644,geocentric
24.0,6841.976228753246,-2047.4127045759517,1175.6527988953717,-6.6696324834246115,-1.9503882025348178,-1.029113791297794,geocentric
26.0,6828.622564317171,-2051.309166497409,1173.5920968960545,-6.684039066663182,-1.9460688108269841,-1.0315895127650523,geocentric
28.0,6815.240043943163,-2055.1969601059313,1171.526435608691,-6.698488465157403,-1.9417198490117074,-1.0340730876845632,geocentric
30.0,6801.828581737163,-2059.0760260168736,1169.4557992761854,-6.712980942831217,-1.9373410722065882,-1.036564566321929,geocentric
32.0,6788.388091274998,-2062.9463043530995,1167.3801720404615,-6.727516765879351,-1.9329322327962533,-1.039063999393783,geocentric
34.0,6774.918485597813,-2066.8077347394774,1165.2995379415536,-6.7420962027924505,-1.9284930803943137,-1.0415714380730123,geocentric
36.0,6761.419677207455,-2070.6602562972994,1163.21388091669,-6.7567195243825555,-1.9240233618046878,-1.0440869339940553,geocentric
38.0,6747.891578061804,-2074.503807638623,1161.1231847993638,-6.77138700380891,-1.9195228209822754,-1.0466105392582734,geocentric
40.0,6734.334099570052,-2078.338326860534,1159.0274333183943,-6.786098916604128,-1.9149911989929704,-1.0491423064393992,geocentric
42.0,6720.747152587933,-2082.163751539326,1156.926610096976,-6.800855540700697,-1.9104282339729999,-1.0516822885890615,geocentric
44.0,6707.13064741289,-2085.9800187246015,1154.820698651718,-6.8156571564578545,-1.9058336610875755,-1.0542305392423887,geocentric
46.0,6693.4844937792,-2089.7870649332876,1152.7096823916704,-6.830504046688813,-1.901207212488843,-1.0567871124236925,geocentric
48.0,6679.808600853038,-2093.5848261435667,1150.5935446173412,-6.845396496688362,-1.8965486172731196,-1.059352062652233,geocentric
50.0,6666.102877227482,-2097.3732377887227,1148.4722685196996,-6.8603347942608375,-1.8918576014373985,-1.0619254449480653,geocentric
52.0,6652.36723091747,-2101.152234750896,1146.3458371791694,-6.875319229748477,-1.8871338878351125,-1.0645073148379707,geocentric
54.0,6638.6015693546915,-2104.9217513547537,1144.2142335646088,-6.890350096060157,-1.8823771961311395,-1.0670977283614733,geocentric
56.0,6624.80579938243,-2108.681721361066,1142.077440532279,-6.905427688700519,-1.877587242756032,-1.069696742076943,geocentric
58.0,6610.9798272503385,-2112.4320779601912,1139.9354408248012,-6.920552305799502,-1.8727637408594602,-1.0723044130677868,geocentric
60.0,6597.123558609159,-2116.1727537654665,1137.7882170700984,-6.935724248142269,-1.8679064002628478,-1.07492079894873,geocentric
62.0,6583.236898505383,-2119.9036808065034,1135.6357517803287,-6.9509438191995505,-1.8630149274111887,-1.077545957872188,geocentric
64.0,6569.31975137585,-2123.6247905223863,1133.4780273508015,-6.966211325158405,-1.858089025324024,-1.080179948534732,geocentric
66.0,6555.372021042283,-2127.336013754772,1131.3150260588836,-6.981527074953394,-1.853128393545566,-1.0828228301836478,geocentric
68.0,6541.3936107057625,-2131.037280740888,1129.146730062891,-6.996891380298204,-1.848132728093948,-1.0854746626235905,geocentric
70.0,6527.384422941134,-2134.728521106429,1126.9731214009678,-7.0123045557176855,-1.843101721409585,-1.0881355062233389,geocentric
72.0,6513.344359691358,-2138.409663858349,1124.79418198995,-7.02776691858035,-1.8380350623026274,-1.090805421922646,geocentric
74.0,6499.2733222617835,-2142.080637377548,1122.6098936242179,-7.043278789131317,-1.8329324358994847,-1.093484471239193,geocentric
76.0,6485.171211314368,-2145.7413694114493,1120.4202379745323,-7.058840490525708,-1.8277935235884066,-1.0961727162756443,geocentric
78.0,6471.037926861818,-2149.391787066469,1118.225196586858,-7.074452348862521,-1.8226180029640962,-1.098870219726808,geocentric
80.0,6456.873368261671,-2153.0318168003714,1116.024750881172,-7.090114693218966,-1.8174055477713382,-1.1015770448869031,geocentric
82.0,6442.6774342103035,-2156.661384414513,1113.818882150257,-7.105827855685285,-1.8121558278476222,-1.104293255656932,geocentric
84.0,6428.450022736867,-2160.28041504597,1111.607571558481,-7.1215921714000645,-1.8068685090647376,-1.1070189165521669,geocentric
86.0,6414.19103119716,-2163.8888331595467,1109.3908001405605,-7.137407978586036,-1.8015432532693207,-1.109754092709745,geocentric
88.0,6399.900356267418,-2167.4865625396646,1107.1685488003097,-7.153275618586385,-1.7961797182223316,-1.1124988498963793,geocentric
90.0,6385.577893938043,-2171.073526282131,1104.9407983093736,-7.169195435901571,-1.790777557537438,-1.1152532545161842,geocentric
92.0,6371.223539507246,-2174.64964678578,1102.7075293059443,-7.185167778226669,-1.7853364206182831,-1.1180173736186196,geocentric
94.0,6356.83718757462,-2178.214845743991,1100.4687222934633,-7.201192996489237,-1.7798559525946145,-1.1207912749065543,geocentric
96.0,6342.418732034641,-2181.7690441360746,1098.2243576393062,-7.217271444887723,-1.774335794257248,-1.1235750267444518,geocentric
98.0,6327.968066070083,-2185.3121622185286,1095.974415573451,-7.233403480930417,-1.7687755819918454,-1.1263686981666805,geocentric
100.0,6313.485082145363,-2188.8441195161613,1093.7188761871303,-7.249589465474957,-1.7631749477114762,-1.1291723588859497,geocentric
102.0,6298.969671999797,-2192.3648348130773,1091.4577194314652,-7.265829762768397,-1.7575335187879413,-1.1319860793018743,geocentric
104.0,6284.421726640787,-2195.874226143525,1089.1909251160841,-7.282124740487856,-1.7518509179818296,-1.134809930509671,geocentric
106.0,6269.841136336912,-2199.372210782604,1086.9184729077217,-7.2984747697817385,-1.7461267633712811,-1.1376439843089865,geocentric
108.0,6255.227790610953,-2202.8587052368266,1084.6403423288016,-7.314880225311551,-1.740360668279429,-1.1404883132128627,geocentric
110.0,6240.581578232816,-2206.333625234536,1082.3565127560003,-7.331341485294323,-1.7345522412004912,-1.1433429904568386,geocentric
112.0,6225.902387212384,-2209.7968857161723,1080.0669634187932,-7.347858931545635,-1.7287010857244829,-1.1462080900081935,geocentric
114.0,6211.190104792272,-2213.2484008243864,1077.7716733979812,-7.364432949523267,-1.7228068004605197,-1.1490836865753324,geocentric
116.0,6196.444617440501,-2216.6880838940024,1075.4706216241998,-7.381063928371483,-1.7168689789586804,-1.1519698556173184,geocentric
118.0,6181.66581084308,-2220.115847441819,1073.1637868764074,-7.397752260965952,-1.710887209630398,-1.154866673353551,geocentric
120.0,6166.853569896498,-2223.531603156252,1070.851147780355,-7.4144983439593215,-1.7048610756673463,-1.157774216773598,geocentric
122.0,6152.007778700122,-2226.9352618868115,1068.532682807036,-7.431302577827462,-1.698790154958791,-1.160692563647178,geocentric
124.0,6137.128320548505,-2230.3267336334143,1066.2083702711163,-7.44816536691637,-1.6926740200073664,-1.1636217925343015,geocentric
126.0,6122.215077923599,-2233.705927535524,1063.8781883293423,-7.4650871194897706,-1.686512237843249,-1.1665619827955702,geocentric
128.0,6107.26793248687,-2237.07275186112,1061.54211497893,-7.482068247777407,-1.680304369936688,-1.1695132146026388,geocentric
130.0,6092.286765071319,-2240.427113995487,1059.2001280559323,-7.499109168024043,-1.6740499721088564,-1.172475568948841,geocentric
132.0,6077.271455673399,-2243.7689204298285,1056.852205233585,-7.51621030053918,-1.6677485944409882,-1.1754491276599854,geocentric
134.0,6062.221883444839,-2247.0980767496926,1054.4983240206304,-7.533372069747507,-1.6613997811817591,-1.1784339734053197,geocentric
136.0,6047.13792668436,-2250.4144876232144,1052.1384617596198,-7.550594904240098,-1.655003070652874,-1.1814301897086719,geocentric
138.0,6032.019462829291,-2253.7180567891646,1049.7725956251923,-7.567879236826355,-1.648557995152819,-1.1844378609597672,geocentric
140.0,6016.866368447082,-2257.008687044807,1047.4007026223328,-7.585225504586733,-1.6420640808587388,-1.1874570724257274,geocentric
