t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,frame
0.0,120000000.0,-50000000.0,2000000.0,-10.0,24.0,0.1,heliocentric
1000.0,119989996.3765294,-49975998.49035392,2000099.9396034863,-10.007247355040983,24.00301926491009,0.09987919738943196,heliocentric
2000.0,119979985.50446194,-49951993.96152472,2000199.7583756056,-10.014497193984019,24.00603836619846,0.0997583372590202,heliocentric
3000.0,119969967.38131289,-49927986.41367617,2000299.456258817,-10.02174951851343,24.009057303544914,0.09963741956694792,heliocentric
4000.0,119959942.00459582,-49903975.84697238,2000399.0331955382,-10.029004330315107,24.012076076628666,0.09951644427135556,heliocentric
5000.0,119949909.37182261,-49879962.26157778,2000498.4891281447,-10.036261631076517,24.015094685128354,0.09939541133034065,heliocentric
6000.0,119939869.48050345,-49855945.657657094,2000597.82399897,-10.043521422486698,24.01811312872202,0.09927432070195781,heliocentric
7000.0,119929822.32814686,-49831926.03537541,2000697.0377503056,-10.050783706236269,24.021131407087136,0.09915317234421869,heliocentric
8000.0,119919767.91225964,-49807903.39489811,2000796.1303244012,-10.058048484017421,24.024149519900572,0.09903196621509192,heliocentric
9000.0,119909706.23034692,-49783877.7363909,2000895.1016634644,-10.065315757523932,24.02716746683862,0.098910702272503,heliocentric
10000.0,119899637.27991211,-49759849.060019836,2000993.951709661,-10.072585528451157,24.030185247576977,0.0987893804743343,heliocentric
11000.0,119889561.05845697,-49735817.36595126,2001092.6804051138,-10.079857798496038,24.033202861790755,0.09866800077842504,heliocentric
12000.0,119879477.56348152,-49711782.654351875,2001191.2876919045,-10.087132569357102,24.036220309154473,0.09854656314257113,heliocentric
13000.0,119869386.79248409,-49687744.92538868,2001289.7735120717,-10.094409842734468,24.039237589342054,0.09842506752452518,heliocentric
14000.0,119859288.74296132,-49663704.17922902,2001388.137807612,-10.101689620329838,24.04225470202684,0.09830351388199644,heliocentric
15000.0,119849183.41240813,-49639660.41604057,2001486.38052048,-10.108971903846507,24.045271646881563,0.09818190217265076,heliocentric
16000.0,119839070.79831775,-49615613.63599131,2001584.5015925877,-10.116256694989369,24.048288423578377,0.09806023235411046,heliocentric
17000.0,119828950.8981817,-49591563.83924957,2001682.5009658046,-10.123543995464908,24.051305031788832,0.09793850438395439,heliocentric
18000.0,119818823.70948981,-49567511.025984004,2001780.3785819577,-10.13083380698121,24.05432147118388,0.09781671821971777,heliocentric
19000.0,119808689.22973016,-49543455.19636358,2001878.1343828319,-10.138126131247956,24.057337741433873,0.09769487381889218,heliocentric
20000.0,119798547.45638916,-49519396.350557625,2001975.7683101692,-10.145420969976431,24.060353842208574,0.0975729711389255,heliocentric
21000.0,119788398.38695148,-49495334.488735765,2002073.2803056692,-10.152718324879523,24.063369773177136,0.09745101013722188,heliocentric
22000.0,119778242.0189001,-49471269.61106798,2002170.6703109888,-10.160018197671722,24.06638553400812,0.0973289907711416,heliocentric
23000.0,119768078.34971626,-49447201.71772457,2002267.9382677423,-10.167320590069128,24.069401124369474,0.09720691299800112,heliocentric
24000.0,119757907.37687951,-49423130.80887617,2002365.0841175015,-10.174625503789452,24.072416543928554,0.09708477677507295,heliocentric
25000.0,119747729.09786767,-49399056.88469376,2002462.107801795,-10.181932940552011,24.07543179235211,0.0969625820595856,heliocentric
26000.0,119737543.51015683,-49374979.94534863,2002559.009262109,-10.189242902077737,24.07844686930628,0.09684032880872358,heliocentric
27000.0,119727350.61122136,-49350899.99101242,2002655.7884398864,-10.196555390089179,24.081461774456606,0.09671801697962726,heliocentric
28000.0,119717150.39853391,-49326817.0218571,2002752.445276528,-10.2038704063105,24.08447650746802,0.09659564652939288,heliocentric
29000.0,119706942.86956543,-49302731.03805497,2002848.9797133906,-10.211187952467482,24.087491068004834,0.09647321741507248,heliocentric
30000.0,119696728.0217851,-49278642.03977869,2002945.391691789,-10.218508030287527,24.09050545573077,0.09635072959367379,heliocentric
31000.0,119686505.85266039,-49254550.02720123,2003041.6811529945,-10.225830641499662,24.09351967030893,0.09622818302216024,heliocentric
32000.0,119676276.35965705,-49230455.0004959,2003137.8480382354,-10.233155787834537,24.096533711401804,0.09610557765745088,heliocentric
33000.0,119666039.5402391,-49206356.959836364,2003233.8922886972,-10.24048347102443,24.099547578671274,0.09598291345642032,heliocentric
34000.0,119655795.3918688,-49182255.90539661,2003329.8138455218,-10.247813692803243,24.102561271778605,0.09586019037589867,heliocentric
35000.0,119645543.9120067,-49158151.83735097,2003425.6126498082,-10.255146454906512,24.105574790384452,0.09573740837267147,heliocentric
36000.0,119635285.09811163,-49134044.75587412,2003521.2886426118,-10.262481759071406,24.108588134148853,0.09561456740347965,heliocentric
37000.0,119625018.94764063,-49109934.66114107,2003616.8417649453,-10.269819607036725,24.111601302731227,0.0954916674250195,heliocentric
38000.0,119614745.45804904,-49085821.553327166,2003712.2719577777,-10.277160000542908,24.11461429579038,0.09536870839394253,heliocentric
39000.0,119604464.62679045,-49061705.432608105,2003807.5791620344,-10.284502941332033,24.117627112984493,0.0952456902668555,heliocentric
40000.0,119594176.4513167,-49037586.29915993,2003902.763318598,-10.291848431147814,24.12063975397114,0.09512261300032032,heliocentric
41000.0,119583880.9290779,-49013464.153159015,2003997.8243683074,-10.29919647173561,24.123652218407262,0.09499947655085399,heliocentric
42000.0,119573578.05752239,-48989338.99478208,2004092.7622519576,-10.306547064842427,24.126664505949183,0.09487628087492854,heliocentric
43000.0,119563267.83409679,-48965210.824206196,2004187.5769103004,-10.313900212216911,24.129676616252606,0.094753025928971,heliocentric
44000.0,119552950.25624596,-48941079.64160877,2004282.2682840442,-10.32125591560936,24.13268854897261,0.09462971166936332,heliocentric
45000.0,119542625.32141298,-48916945.44716756,2004376.8363138535,-10.32861417677172,24.13570030376365,0.09450633805244231,heliocentric
46000.0,119532293.02703923,-48892808.24106067,2004471.280940349,-10.335974997457594,24.138711880279548,0.09438290503449957,heliocentric
47000.0,119521953.3705643,-48868668.02346654,2004565.6021041076,-10.343338379422233,24.14172327817351,0.09425941257178148,heliocentric
48000.0,119511606.34942603,-48844524.79456398,2004659.799745663,-10.350704324422548,24.14473449709811,0.09413586062048908,heliocentric
49000.0,119501251.96106052,-48820378.55453212,2004753.8738055045,-10.358072834217104,24.147745536705287,0.09401224913677804,heliocentric
50000.0,119490890.20290208,-48796229.30355045,2004847.8242240779,-10.365443910566132,24.150756396646358,0.0938885780767586,heliocentric
51000.0,119480521.07238328,-48772077.04179883,2004941.6509417847,-10.372817555231519,24.153767076572006,0.09376484739649553,heliocentric
52000.0,119470144.56693493,-48747921.76945743,2005035.3538989828,-10.380193769976822,24.15677757613228,0.09364105705200804,heliocentric
53000.0,119459760.68398605,-48723763.4867068,2005128.9330359858,-10.38757255656726,24.159787894976603,0.09351720699926973,heliocentric
54000.0,119449369.42096393,-48699602.19372783,2005222.3882930637,-10.39495391676972,24.162798032753756,0.09339329719420854,heliocentric
55000.0,119438970.77529405,-48675437.89070176,2005315.7196104422,-10.402337852352764,24.165807989111887,0.09326932759270669,heliocentric
56000.0,119428564.74440017,-48651270.5778102,2005408.9269283023,-10.40972436508662,24.168817763698506,0.09314529815060059,heliocentric
57000.0,119418151.32570425,-48627100.255235076,2005502.0101867816,-10.417113456743191,24.171827356160488,0.09302120882368083,heliocentric
58000.0,119407730.51662646,-48602926.923158705,2005594.9693259732,-10.424505129096062,24.174836766144068,0.09289705956769208,heliocentric
59000.0,119397302.31458524,-48578750.58176374,2005687.8042859258,-10.43189938392049,24.177845993294845,0.09277285033833306,heliocentric
60000.0,119386866.7169972,-48554571.23123318,2005780.515006644,-10.439296222993415,24.18085503725777,0.09264858109125645,heliocentric
61000.0,119376423.72127724,-48530388.8717504,2005873.1014280876,-10.446695648093458,24.18386389767716,0.09252425178206887,heliocentric
62000.0,119365973.32483841,-48506203.50349912,2005965.5634901726,-10.454097661000928,24.18687257419668,0.09239986236633076,heliocentric
63000.0,119355515.52509204,-48482015.126663424,2006057.90113277,-10.461502263497815,24.189881066459357,0.09227541279955638,heliocentric
64000.0,119345050.31944762,-48457823.74142774,2006150.1142957066,-10.468909457367802,24.192889374107573,0.09215090303721372,heliocentric
65000.0,119334577.70531291,-48433629.34797687,2006242.2029187644,-10.47631924439626,24.19589749678306,0.09202633303472446,heliocentric
66000.0,119324097.68009384,-48409431.94649596,2006334.1669416812,-10.483731626370252,24.198905434126914,0.09190170274746386,heliocentric
67000.0,119313610.24119459,-48385231.537170514,2006426.0063041495,-10.491146605078539,24.201913185779564,0.09177701213076077,heliocentric
68000.0,119303115.38601752,-48361028.12018642,2006517.720945818,-10.498564182311574,24.2049207513808,0.09165226113989751,heliocentric
69000.0,119292613.1119632,-48336821.6957299,2006609.3108062898,-10.505984359861511,24.207928130569766,0.09152744973010984,heliocentric
70000.0,119282103.41643043,-48312612.26398754,2006700.7758251235,-10.513407139522206,24.210935322984945,0.09140257785658691,heliocentric
71000.0,119271586.29681619,-48288399.82514631,2006792.1159418332,-10.520832523089217,24.213942328264167,0.09127764547447116,heliocentric
72000.0,119261061.75051568,-48264184.37939352,2006883.3310958878,-10.528260512359806,24.216949146044616,0.09115265253885828,heliocentric
73000.0,119250529.77492231,-48239965.926916845,2006974.4212267115,-10.535691109132943,24.219955775962816,0.09102759900479715,heliocentric
74000.0,119239990.36742766,-48215744.46790434,2007065.386273683,-10.543124315209306,24.222962217654636,0.0909024848272898,heliocentric
